,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-01 00:00:00,12.0,0.0,19.64,0.0,17.534,1.0,1,12.0,0,17.24247512374723,11.597859933333336,-164.15349511665815,0.0,143.58335862949866,0.0,0.0,16.215845
2022-11-01 00:15:00,12.0,0.0,19.64,0.0,17.474,1.0,1,12.0,0,17.253385910708495,11.597859933333336,-158.24227948184677,0.0,142.819612162932,0.0,0.0,16.2404425
2022-11-01 00:30:00,12.0,0.0,19.64,0.0,17.352,1.0,1,12.0,0,17.264533494922183,11.597859933333336,-152.540243461176,0.0,141.8319201839821,0.0,0.0,16.26504
2022-11-01 00:45:00,12.0,0.0,19.64,0.0,17.35,1.0,1,12.0,0,17.2957452788083,11.597859933333336,-147.0783301431591,0.0,140.63852567712718,0.0,0.0,16.320030000000003
2022-11-01 01:00:00,12.0,0.0,19.64,0.0,17.23,1.0,1,12.0,0,17.327300262633734,11.597859933333336,-141.8736787421003,0.0,139.25918497774236,0.0,0.0,16.375020000000006
2022-11-01 01:15:00,12.0,0.0,19.64,0.0,17.227,1.0,1,12.0,0,17.359153065771743,11.597859933333336,-136.93139341555434,0.0,137.7140544645319,0.0,0.0,16.43001000000001
2022-11-01 01:30:00,12.0,0.0,19.64,0.0,17.168,1.0,1,12.0,0,17.39125853505022,11.597859933333336,-132.2470145104188,0.0,136.02283626708206,0.0,0.0,16.485000000000014
2022-11-01 01:45:00,12.0,0.0,19.64,0.0,17.23,1.0,1,12.0,0,17.377081422501576,11.597859933333336,-127.80911796387768,0.0,134.2041985530912,0.0,0.0,16.468980000000016
2022-11-01 02:00:00,12.0,0.0,19.641,0.0,17.23,1.0,1,12.0,0,17.36303501106308,11.597859933333336,-123.60166748958376,0.0,132.27543914444962,0.0,0.0,16.45296000000002
2022-11-01 02:15:00,12.0,0.0,19.64,0.0,17.29,1.0,1,12.0,0,17.34912396334136,11.597859933333336,-119.6059377346117,0.0,130.2523398273998,0.0,0.0,16.43694000000002
